Seed Function,Graph Modification,Avg Activated Nodes,Activated Nodes Std Dev,"Avg Activated Nodes, Color (0)","Activated Nodes Std Dev, Color (0)","Avg Activated Nodes, Color (1)","Activated Nodes Std Dev, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Nodes,Number of Edges
Centrality,Original Graph,913.515,144.549,63.708,28.514,849.807,117.122,63.575,35.471,12645.0,67053.0
Centrality,PrefAtt,1328.438,163.53,193.038,36.179,1135.4,129.244,384.923,64.686,12645.0,68949.0
Centrality,Jaccard,1038.01,145.983,123.189,29.812,914.821,117.421,206.453,52.453,12645.0,68949.0
Centrality,Degree,1253.183,159.759,131.475,36.117,1121.708,125.405,275.883,76.169,12645.0,68949.0
Centrality,TopK,964.336,151.283,71.178,30.346,893.158,122.159,74.892,38.643,12645.0,68949.0
Centrality,KKT,1225.012,156.245,125.311,34.1,1099.701,123.838,209.47,54.858,12645.0,68949.0
Centrality,Random,1688.123,145.975,417.119,33.525,1271.004,114.342,767.993,76.325,12645.0,68949.0
Centrality,Custom,1945.85,143.365,726.987,34.743,1218.863,110.648,1880.15,140.612,12645.0,68949.0
Centrality,Custom V2,1586.477,141.946,403.904,33.583,1182.573,110.48,1165.285,94.557,12645.0,68949.0
Centrality Mixed,Original Graph,920.73,141.545,65.162,28.892,855.568,113.791,66.127,35.316,12645.0,67053.0
Centrality Mixed,PrefAtt,1377.667,150.316,194.605,32.824,1183.062,119.356,370.473,62.153,12645.0,68949.0
Centrality Mixed,Jaccard,1055.911,149.558,126.755,30.805,929.156,120.019,212.543,54.106,12645.0,68949.0
Centrality Mixed,Degree,1253.05,157.83,129.662,35.621,1123.388,124.014,268.674,73.423,12645.0,68949.0
Centrality Mixed,TopK,965.32,148.6,69.99,29.736,895.33,120.185,74.488,37.139,12645.0,68949.0
Centrality Mixed,KKT,1170.895,154.037,101.361,34.338,1069.534,121.428,195.224,61.798,12645.0,68949.0
Centrality Mixed,Random,1619.895,153.995,376.349,36.66,1243.546,119.567,739.711,79.915,12645.0,68949.0
Centrality Mixed,Custom,1962.504,142.288,739.128,35.005,1223.376,109.385,1907.299,129.179,12645.0,68949.0
Centrality Mixed,Custom V2,1598.383,143.787,407.269,34.48,1191.114,111.203,1178.168,97.877,12645.0,68949.0
Degree,Original Graph,1349.329,174.68,172.365,43.537,1176.964,132.721,224.013,51.594,12645.0,67053.0
Degree,PrefAtt,1629.155,182.183,287.174,46.794,1341.981,137.236,436.295,61.469,12645.0,68949.0
Degree,Jaccard,1354.116,174.546,172.344,43.609,1181.772,132.434,224.678,52.53,12645.0,68949.0
Degree,Degree,1350.303,169.127,172.915,42.283,1177.388,128.475,224.875,50.672,12645.0,68949.0
Degree,TopK,1394.606,164.741,179.251,41.109,1215.355,125.369,235.481,50.032,12645.0,68949.0
Degree,KKT,1350.268,174.737,173.122,43.428,1177.146,132.909,224.372,51.489,12645.0,68949.0
Degree,Random,1946.703,171.742,487.166,43.592,1459.537,129.701,785.759,71.917,12645.0,68949.0
Degree,Custom,2315.756,161.841,884.787,42.848,1430.969,120.693,1898.213,90.681,12645.0,68949.0
Degree,Custom V2,1983.976,166.541,542.273,42.8,1441.703,125.324,1245.428,74.698,12645.0,68949.0
MIA,Original Graph,1607.555,156.154,550.242,32.023,1057.313,125.694,955.152,98.523,12645.0,67053.0
MIA,PrefAtt,1972.581,185.059,675.107,39.966,1297.474,147.129,1229.355,156.255,12645.0,68949.0
MIA,Jaccard,1655.776,157.437,594.567,32.421,1061.209,126.632,1042.273,123.603,12645.0,68949.0
MIA,Degree,1894.776,176.217,606.524,36.063,1288.252,142.54,1136.77,145.997,12645.0,68949.0
MIA,TopK,1706.166,178.334,562.625,34.593,1143.541,146.588,1040.376,136.754,12645.0,68949.0
MIA,KKT,1883.844,184.776,607.638,38.374,1276.206,148.263,1144.505,155.852,12645.0,68949.0
MIA,Random,2232.674,166.203,855.558,40.906,1377.116,128.054,1489.489,175.583,12645.0,68949.0
MIA,Custom,1923.474,187.096,569.685,37.8,1353.789,152.343,1218.762,160.929,12645.0,68949.0
MIA,Custom V2,2071.802,169.63,788.924,38.287,1282.878,133.946,1698.97,227.882,12645.0,68949.0
Polarized,Original Graph,1287.189,152.208,754.999,25.829,532.19,128.08,782.186,154.183,12645.0,67053.0
Polarized,PrefAtt,1772.298,193.262,882.874,37.53,889.424,157.465,1138.369,247.901,12645.0,68949.0
Polarized,Jaccard,1306.055,153.255,768.904,26.395,537.151,128.804,782.092,162.576,12645.0,68949.0
Polarized,Degree,1630.131,205.336,804.29,35.684,825.841,171.543,966.785,219.395,12645.0,68949.0
Polarized,TopK,1385.564,193.391,764.182,28.224,621.382,167.648,872.082,208.577,12645.0,68949.0
Polarized,KKT,1626.196,208.727,803.372,34.245,822.824,176.178,982.348,234.437,12645.0,68949.0
Polarized,Random,1958.944,173.143,1052.151,34.513,906.793,140.933,1243.863,225.893,12645.0,68949.0
Polarized,Custom,1649.746,197.673,773.57,31.896,876.176,168.008,1184.144,268.398,12645.0,68949.0
Polarized,Custom V2,1512.902,171.581,766.58,29.456,746.322,144.009,1108.386,274.719,12645.0,68949.0
Polarized Centrality,Original Graph,1123.09,160.563,675.817,22.673,447.273,139.322,432.32,151.25,12645.0,67053.0
Polarized Centrality,PrefAtt,1593.622,205.218,790.963,29.598,802.659,177.55,802.248,240.501,12645.0,68949.0
Polarized Centrality,Jaccard,1249.34,170.63,794.663,39.322,454.677,137.165,451.432,149.612,12645.0,68949.0
Polarized Centrality,Degree,1509.648,221.256,722.055,31.013,787.593,192.561,675.58,239.779,12645.0,68949.0
Polarized Centrality,TopK,1247.397,220.593,685.785,26.134,561.612,196.83,540.334,223.031,12645.0,68949.0
Polarized Centrality,KKT,1502.417,226.749,721.076,30.57,781.341,198.149,653.379,239.061,12645.0,68949.0
Polarized Centrality,Random,1866.579,181.75,983.249,31.392,883.33,152.527,952.91,218.293,12645.0,68949.0
Polarized Centrality,Custom,1524.817,217.994,692.92,27.583,831.897,192.812,863.094,282.658,12645.0,68949.0
Polarized Centrality,Custom V2,1359.286,192.903,685.512,26.279,673.774,168.552,744.721,280.255,12645.0,68949.0
Polarized Centrality Mixed,Original Graph,1135.916,161.591,678.008,22.534,457.908,140.555,441.478,146.327,12645.0,67053.0
Polarized Centrality Mixed,PrefAtt,1612.186,202.938,778.751,29.983,833.435,174.798,812.798,247.13,12645.0,68949.0
Polarized Centrality Mixed,Jaccard,1260.856,166.502,798.541,38.921,462.315,134.099,456.059,150.811,12645.0,68949.0
Polarized Centrality Mixed,Degree,1516.475,219.139,723.438,30.193,793.037,190.952,671.048,247.488,12645.0,68949.0
Polarized Centrality Mixed,TopK,1239.04,205.25,686.725,24.881,552.315,182.704,535.113,214.952,12645.0,68949.0
Polarized Centrality Mixed,KKT,1510.997,212.872,722.333,29.685,788.664,185.404,685.001,243.045,12645.0,68949.0
Polarized Centrality Mixed,Random,1835.502,180.187,959.447,31.102,876.055,151.176,1018.943,234.011,12645.0,68949.0
Polarized Centrality Mixed,Custom,1496.256,201.923,692.957,25.997,803.299,178.242,835.887,270.289,12645.0,68949.0
Polarized Centrality Mixed,Custom V2,1376.41,187.358,688.797,25.531,687.613,163.869,771.215,277.997,12645.0,68949.0
Polarized Degree,Original Graph,1825.46,190.101,840.037,42.918,985.423,151.376,1920.023,312.327,12645.0,67053.0
Polarized Degree,PrefAtt,2094.639,213.328,923.523,46.357,1171.116,171.256,2123.704,359.053,12645.0,68949.0
Polarized Degree,Jaccard,1910.229,190.039,915.76,46.874,994.469,148.653,1946.018,314.134,12645.0,68949.0
Polarized Degree,Degree,2013.606,200.131,867.91,44.702,1145.696,159.929,2007.178,339.763,12645.0,68949.0
Polarized Degree,TopK,1878.226,205.024,840.235,43.019,1037.991,166.796,1980.024,325.299,12645.0,68949.0
Polarized Degree,KKT,2007.619,200.398,866.048,44.707,1141.571,159.731,2009.236,346.919,12645.0,68949.0
Polarized Degree,Random,2411.196,193.731,1119.439,44.087,1291.757,153.927,2300.834,344.6,12645.0,68949.0
Polarized Degree,Custom,2203.533,214.428,848.827,44.722,1354.706,173.767,2430.69,416.73,12645.0,68949.0
Polarized Degree,Custom V2,2056.737,195.412,843.925,43.02,1212.812,156.536,2318.977,388.585,12645.0,68949.0
Random,Original Graph,1257.467,154.657,424.1,28.897,833.367,127.385,462.995,122.775,12645.0,67053.0
Random,PrefAtt,1742.347,207.915,565.062,41.075,1177.285,169.061,917.676,195.834,12645.0,68949.0
Random,Jaccard,1296.08,165.394,447.46,30.897,848.62,136.097,530.763,149.537,12645.0,68949.0
Random,Degree,1600.648,203.795,483.103,37.405,1117.545,168.558,686.273,186.851,12645.0,68949.0
Random,TopK,1348.824,193.613,432.803,31.314,916.021,164.829,523.292,159.488,12645.0,68949.0
Random,KKT,1595.673,204.026,481.621,37.266,1114.052,169.08,668.968,181.045,12645.0,68949.0
Random,Random,1961.277,189.848,737.36,39.706,1223.917,151.997,1073.011,199.378,12645.0,68949.0
Random,Custom,1585.62,195.798,442.364,34.591,1143.256,164.129,680.35,179.995,12645.0,68949.0
Random,Custom V2,1776.438,184.218,691.579,38.165,1084.859,147.979,1244.94,244.675,12645.0,68949.0
