Seed Function,Graph Modification,Avg Activated Nodes,Activated Nodes Std Dev,"Avg Activated Nodes, Color (0)","Activated Nodes Std Dev, Color (0)","Avg Activated Nodes, Color (1)","Activated Nodes Std Dev, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Nodes,Number of Edges
Centrality,Original Graph,60.23,42.657,25.606,20.158,34.624,22.809,21.049,26.733,475.0,13289.0
Centrality,PrefAtt,158.308,49.356,68.78,23.407,89.528,26.597,186.3,101.716,475.0,13358.0
Centrality,Jaccard,75.811,45.089,33.065,21.563,42.746,23.932,29.446,28.688,475.0,13358.0
Centrality,Degree,62.959,44.158,27.002,20.864,35.957,23.61,22.769,27.818,475.0,13358.0
Centrality,TopK,62.814,44.623,26.96,21.353,35.854,23.581,22.74,28.532,475.0,13358.0
Centrality,KKT,64.127,44.164,27.55,20.946,36.577,23.549,23.623,28.385,475.0,13358.0
Centrality,Random,93.843,46.046,43.178,21.856,50.665,24.683,50.838,34.107,475.0,13358.0
Centrality,Custom,127.562,47.078,60.315,22.373,67.247,25.339,62.694,33.129,475.0,13358.0
Centrality,Custom V2,121.679,46.132,55.199,21.754,66.48,24.944,93.948,55.168,475.0,13358.0
Centrality Mixed,Original Graph,74.118,47.237,32.713,22.009,41.405,25.604,28.427,30.274,475.0,13289.0
Centrality Mixed,PrefAtt,82.965,48.454,36.709,22.586,46.256,26.336,33.89,30.86,475.0,13358.0
Centrality Mixed,Jaccard,162.981,48.268,72.398,22.595,90.583,26.307,78.085,35.781,475.0,13358.0
Centrality Mixed,Degree,74.231,45.647,32.796,21.456,41.435,24.584,28.793,28.769,475.0,13358.0
Centrality Mixed,TopK,74.339,45.356,32.825,21.344,41.514,24.387,28.521,28.648,475.0,13358.0
Centrality Mixed,KKT,77.408,47.298,34.163,22.132,43.245,25.554,30.353,30.214,475.0,13358.0
Centrality Mixed,Random,88.275,46.587,39.045,21.805,49.23,25.228,38.328,31.766,475.0,13358.0
Centrality Mixed,Custom,88.514,49.386,40.828,23.199,47.686,26.671,37.993,32.7,475.0,13358.0
Centrality Mixed,Custom V2,94.701,51.638,42.19,24.216,52.511,27.925,44.628,37.141,475.0,13358.0
Degree,Original Graph,76.694,46.696,34.771,21.903,41.923,25.187,30.174,30.263,475.0,13289.0
Degree,PrefAtt,84.048,48.584,38.053,22.727,45.995,26.319,34.985,31.174,475.0,13358.0
Degree,Jaccard,164.131,50.673,72.825,23.658,91.306,27.615,79.247,37.592,475.0,13358.0
Degree,Degree,72.264,45.824,32.659,21.317,39.605,24.895,27.357,28.431,475.0,13358.0
Degree,TopK,76.909,47.217,34.735,21.863,42.174,25.769,30.103,29.709,475.0,13358.0
Degree,KKT,72.443,45.614,32.798,21.223,39.645,24.772,27.525,29.257,475.0,13358.0
Degree,Random,88.93,47.513,40.54,22.11,48.39,25.887,38.259,31.027,475.0,13358.0
Degree,Custom,107.787,53.691,50.741,25.219,57.046,28.991,54.726,41.722,475.0,13358.0
Degree,Custom V2,103.336,51.556,46.989,23.9,56.347,28.163,50.078,37.466,475.0,13358.0
MIA,Original Graph,95.327,57.901,42.859,26.925,52.468,31.407,44.056,41.394,475.0,13289.0
MIA,PrefAtt,106.766,57.568,48.594,26.803,58.172,31.253,53.027,41.508,475.0,13358.0
MIA,Jaccard,162.017,52.015,71.001,24.723,91.016,27.986,82.853,41.438,475.0,13358.0
MIA,Degree,100.109,60.032,45.16,27.917,54.949,32.513,47.532,42.551,475.0,13358.0
MIA,TopK,95.875,56.801,43.266,26.356,52.609,30.863,44.98,40.115,475.0,13358.0
MIA,KKT,99.502,57.617,44.939,26.849,54.563,31.188,46.385,40.343,475.0,13358.0
MIA,Random,102.318,58.296,46.549,27.16,55.769,31.623,49.119,42.213,475.0,13358.0
MIA,Custom,112.463,56.653,53.028,26.854,59.435,30.357,58.39,42.994,475.0,13358.0
MIA,Custom V2,129.144,56.409,57.523,26.187,71.621,30.79,72.88,45.382,475.0,13358.0
Polarized,Original Graph,110.068,53.225,59.515,22.862,50.553,30.9,52.157,36.082,475.0,13289.0
Polarized,PrefAtt,117.639,52.608,62.0,22.479,55.639,30.651,57.851,36.109,475.0,13358.0
Polarized,Jaccard,127.366,55.493,66.822,23.805,60.544,32.273,62.05,39.156,475.0,13358.0
Polarized,Degree,108.929,53.383,59.062,23.168,49.867,30.722,51.527,36.229,475.0,13358.0
Polarized,TopK,111.149,52.774,59.89,22.699,51.259,30.558,52.719,35.492,475.0,13358.0
Polarized,KKT,108.257,52.477,58.492,22.394,49.765,30.555,51.718,36.373,475.0,13358.0
Polarized,Random,135.805,49.755,70.731,21.753,65.074,28.564,100.531,48.553,475.0,13358.0
Polarized,Custom,116.779,55.405,61.404,23.782,55.375,32.168,59.164,39.844,475.0,13358.0
Polarized,Custom V2,112.943,52.666,59.692,22.556,53.251,30.602,56.593,37.099,475.0,13358.0
Polarized Centrality,Original Graph,64.561,45.967,39.643,18.818,,,24.569,29.208,475.0,13289.0
Polarized Centrality,PrefAtt,66.091,45.344,40.345,18.471,25.746,27.214,25.384,28.726,475.0,13358.0
Polarized Centrality,Jaccard,78.435,48.442,45.399,20.003,,,32.685,32.49,475.0,13358.0
Polarized Centrality,Degree,62.221,44.17,38.671,18.278,23.55,26.228,23.335,28.232,475.0,13358.0
Polarized Centrality,TopK,65.208,47.318,39.699,19.346,25.509,28.286,25.307,30.582,475.0,13358.0
Polarized Centrality,KKT,63.178,44.009,39.008,18.055,,,24.152,28.247,475.0,13358.0
Polarized Centrality,Random,91.977,50.098,49.458,20.601,42.519,29.971,43.003,35.392,475.0,13358.0
Polarized Centrality,Custom,95.215,51.453,50.429,21.181,44.786,30.765,50.344,44.179,475.0,13358.0
Polarized Centrality,Custom V2,73.387,49.302,42.458,20.276,30.929,29.404,32.099,34.173,475.0,13358.0
Polarized Centrality Mixed,Original Graph,73.507,50.637,43.645,20.945,,,29.598,32.339,475.0,13289.0
Polarized Centrality Mixed,PrefAtt,93.446,52.472,50.518,21.838,42.928,31.145,43.297,37.345,475.0,13358.0
Polarized Centrality Mixed,Jaccard,83.851,51.582,47.992,21.389,35.859,30.608,36.085,33.088,475.0,13358.0
Polarized Centrality Mixed,Degree,77.964,51.171,45.426,21.371,32.538,30.143,32.258,32.35,475.0,13358.0
Polarized Centrality Mixed,TopK,74.904,46.912,44.031,19.228,30.873,28.052,30.583,29.668,475.0,13358.0
Polarized Centrality Mixed,KKT,75.51,48.888,44.4,20.364,,,30.847,30.603,475.0,13358.0
Polarized Centrality Mixed,Random,100.366,53.979,53.952,22.205,46.414,32.255,47.854,37.635,475.0,13358.0
Polarized Centrality Mixed,Custom,93.944,52.593,50.503,21.579,43.441,31.448,43.672,35.095,475.0,13358.0
Polarized Centrality Mixed,Custom V2,92.723,50.9,50.17,21.11,42.553,30.247,44.937,37.183,475.0,13358.0
Polarized Degree,Original Graph,74.857,46.942,43.517,18.968,31.34,28.343,31.427,31.214,475.0,13289.0
Polarized Degree,PrefAtt,88.666,50.598,49.183,20.936,39.483,30.094,40.68,35.728,475.0,13358.0
Polarized Degree,Jaccard,82.401,51.086,46.803,20.876,35.598,30.649,36.103,34.538,475.0,13358.0
Polarized Degree,Degree,77.64,47.044,44.661,19.118,,,32.968,30.754,475.0,13358.0
Polarized Degree,TopK,76.646,47.245,44.41,19.411,,,32.007,30.395,475.0,13358.0
Polarized Degree,KKT,75.968,49.369,44.053,20.3,31.915,29.459,32.232,33.484,475.0,13358.0
Polarized Degree,Random,108.948,52.476,57.517,21.827,51.431,31.144,55.047,39.011,475.0,13358.0
Polarized Degree,Custom,98.649,51.546,50.897,21.37,47.752,30.667,49.441,37.372,475.0,13358.0
Polarized Degree,Custom V2,93.658,50.167,49.71,20.8,43.948,29.844,46.972,37.406,475.0,13358.0
Random,Original Graph,102.305,52.491,49.016,24.573,53.289,28.417,44.713,34.382,475.0,13289.0
Random,PrefAtt,105.796,56.04,50.561,25.819,55.235,30.688,48.184,38.44,475.0,13358.0
Random,Jaccard,109.843,53.986,52.646,24.962,57.197,29.517,49.598,36.511,475.0,13358.0
