Seed Function,Graph Modification,Avg Activated Nodes,Activated Nodes Std Dev,"Avg Activated Nodes, Color (0)","Activated Nodes Std Dev, Color (0)","Avg Activated Nodes, Color (1)","Activated Nodes Std Dev, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Nodes,Number of Edges
Centrality,Original Graph,19.193,9.345,3.323,3.622,15.87,6.508,1.329,1.51,100.0,275.0
Centrality,PrefAtt,28.833,12.804,10.054,7.634,18.779,6.861,4.998,3.498,100.0,305.0
Centrality,Jaccard,59.003,10.266,20.295,7.228,38.708,4.073,10.201,2.245,100.0,305.0
Centrality,Degree,35.546,14.965,11.298,9.121,24.248,7.541,4.975,3.77,100.0,305.0
Centrality,TopK,20.533,10.75,4.693,5.155,15.84,6.601,2.494,2.348,100.0,305.0
Centrality,KKT,29.435,13.94,8.411,8.204,21.024,7.514,4.839,3.705,100.0,305.0
Centrality,Random,43.53,12.506,13.841,8.141,29.689,6.08,9.959,3.925,100.0,305.0
Centrality,Custom,46.527,14.061,24.678,7.72,21.849,8.074,15.695,6.968,100.0,305.0
Centrality Mixed,Original Graph,32.401,16.03,15.343,8.316,17.058,8.912,2.878,2.608,100.0,275.0
Centrality Mixed,PrefAtt,39.063,15.334,20.299,8.241,18.764,8.354,7.025,4.331,100.0,305.0
Centrality Mixed,Jaccard,51.395,13.077,26.917,6.226,24.478,8.143,9.317,3.973,100.0,305.0
Centrality Mixed,Degree,42.239,15.764,19.547,8.745,22.692,8.288,7.288,4.891,100.0,305.0
Centrality Mixed,TopK,35.235,16.122,16.461,8.786,18.774,8.618,4.624,3.199,100.0,305.0
Centrality Mixed,KKT,37.95,15.719,18.258,8.541,19.692,8.521,6.067,4.511,100.0,305.0
Centrality Mixed,Random,51.73,13.187,26.432,6.879,25.298,7.546,14.829,6.382,100.0,305.0
Centrality Mixed,Custom,40.631,15.144,16.239,8.438,24.392,8.295,9.605,4.751,100.0,305.0
Degree,Original Graph,34.678,15.469,13.643,9.031,21.035,7.936,3.587,2.834,100.0,275.0
Degree,PrefAtt,59.446,9.353,30.438,4.864,29.008,5.959,13.797,4.068,100.0,305.0
Degree,Jaccard,58.629,11.901,27.846,7.113,30.783,6.285,11.556,3.452,100.0,305.0
Degree,Degree,41.392,14.716,16.437,8.945,24.955,7.322,5.773,3.636,100.0,305.0
Degree,TopK,36.717,15.037,14.234,8.712,22.483,7.803,5.575,4.121,100.0,305.0
Degree,KKT,35.565,15.295,14.109,9.001,21.456,7.785,3.619,2.856,100.0,305.0
Degree,Random,50.638,13.253,22.556,8.161,28.082,6.609,8.122,3.499,100.0,305.0
Degree,Custom,47.056,15.389,23.732,9.11,23.324,7.814,13.233,6.164,100.0,305.0
MIA,Original Graph,47.724,14.652,21.134,8.98,26.59,7.397,4.306,3.284,100.0,275.0
MIA,PrefAtt,66.861,10.315,34.835,5.36,32.026,6.617,12.27,5.036,100.0,305.0
MIA,Jaccard,67.725,11.266,32.703,6.997,35.022,5.999,12.152,3.636,100.0,305.0
MIA,Degree,57.826,14.159,26.714,8.627,31.112,6.903,7.52,4.013,100.0,305.0
MIA,TopK,49.885,14.791,22.492,9.198,27.393,7.387,5.777,3.59,100.0,305.0
MIA,KKT,53.738,14.847,24.713,9.259,29.025,7.298,6.205,3.669,100.0,305.0
MIA,Random,56.241,13.875,26.073,8.347,30.168,6.942,8.589,4.109,100.0,305.0
MIA,Custom,60.422,13.505,31.307,7.454,29.115,7.621,11.794,5.879,100.0,305.0
Polarized,Original Graph,33.281,15.333,22.883,7.622,10.398,9.668,4.615,3.464,100.0,275.0
Polarized,PrefAtt,43.472,14.897,23.803,7.191,19.669,9.757,11.582,5.534,100.0,305.0
Polarized,Jaccard,68.5,9.785,39.792,4.045,28.708,7.053,13.57,4.207,100.0,305.0
Polarized,Degree,47.188,15.226,25.883,7.739,21.305,9.428,11.336,6.031,100.0,305.0
Polarized,TopK,36.32,15.998,22.698,7.67,13.622,10.24,8.004,5.332,100.0,305.0
Polarized,KKT,40.117,15.511,23.759,7.49,16.358,9.625,8.982,5.737,100.0,305.0
Polarized,Random,52.326,13.484,27.041,7.505,25.285,7.886,11.399,5.144,100.0,305.0
Polarized,Custom,45.327,14.723,22.843,7.563,22.484,9.116,15.776,6.451,100.0,305.0
Polarized Centrality,Original Graph,32.321,16.705,22.7,9.893,9.621,8.786,4.314,3.269,100.0,275.0
