Seed Function,Graph Modification,Avg Activated Nodes,Activated Nodes Std Dev,"Avg Activated Nodes, Color (0)","Activated Nodes Std Dev, Color (0)","Avg Activated Nodes, Color (1)","Activated Nodes Std Dev, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Nodes,Number of Edges
Centrality,Original Graph,203.533,4.494,99.014,1.957,104.519,2.751,1.283,2.51,4039.0,88234.0
Centrality,PrefAtt,1902.223,457.077,959.927,229.033,942.296,228.476,1848.435,759.07,4039.0,88837.0
Centrality,Jaccard,1632.144,488.835,821.795,247.391,810.349,241.903,1051.888,410.734,4039.0,88837.0
Centrality,Degree,2775.665,174.411,1388.463,90.285,1387.202,85.631,3294.418,878.135,4039.0,88837.0
Centrality,TopK,204.972,6.193,99.507,2.527,105.465,3.891,2.048,3.598,4039.0,88837.0
Centrality,KKT,2754.623,182.508,1379.359,94.175,1375.264,89.756,2799.088,728.372,4039.0,88837.0
Centrality,Random,987.23,279.556,492.229,140.898,495.001,139.32,592.835,249.901,4039.0,88837.0
Centrality,Custom,2370.912,201.885,1187.03,102.334,1183.882,100.735,3921.147,1566.506,4039.0,88837.0
Centrality,Custom V2,2351.49,212.948,1175.284,107.863,1176.206,106.215,3763.102,1397.137,4039.0,88837.0
Centrality Mixed,Original Graph,813.412,129.684,412.751,68.732,400.661,61.852,381.506,108.118,4039.0,88234.0
Centrality Mixed,PrefAtt,1623.841,531.653,816.636,266.9,807.205,265.206,1031.574,438.336,4039.0,88837.0
Centrality Mixed,Jaccard,1877.333,429.471,947.303,216.008,930.03,213.864,1333.783,367.639,4039.0,88837.0
Centrality Mixed,Degree,2775.83,172.519,1388.669,89.341,1387.161,84.605,2574.871,548.648,4039.0,88837.0
Centrality Mixed,TopK,812.095,125.607,412.536,66.518,399.559,60.186,381.58,105.403,4039.0,88837.0
Centrality Mixed,KKT,2773.802,170.517,1386.818,89.001,1386.984,82.981,2819.576,749.16,4039.0,88837.0
Centrality Mixed,Random,2178.811,202.005,1098.592,102.652,1080.219,100.593,2179.35,629.859,4039.0,88837.0
Centrality Mixed,Custom,2350.787,192.929,1177.066,98.252,1173.721,95.995,2873.228,1068.31,4039.0,88837.0
Centrality Mixed,Custom V2,2329.355,200.371,1162.485,101.796,1166.87,99.743,2921.239,924.419,4039.0,88837.0
Degree,Original Graph,2779.552,189.787,1390.602,98.454,1388.95,92.656,1757.234,220.047,4039.0,88234.0
Degree,PrefAtt,2972.404,148.012,1495.344,75.752,1477.06,73.669,2137.78,227.1,4039.0,88837.0
Degree,Jaccard,3003.229,143.828,1515.878,73.475,1487.351,71.724,2072.164,219.556,4039.0,88837.0
Degree,Degree,2787.835,187.759,1394.752,97.595,1393.083,91.536,1767.329,216.564,4039.0,88837.0
Degree,TopK,2793.879,184.191,1397.762,95.117,1396.117,90.445,1774.039,219.191,4039.0,88837.0
