Seed Function,Graph Modification,Avg Activated Nodes,Activated Nodes Std Dev,"Avg Activated Nodes, Color (0)","Activated Nodes Std Dev, Color (0)","Avg Activated Nodes, Color (1)","Activated Nodes Std Dev, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Nodes,Number of Edges
Centrality,Original Graph,549.559,26.011,536.167,25.382,13.392,1.324,1.429,1.392,10000.0,99990.0
Centrality,PrefAtt,2920.0,0.0,2698.0,0.0,222.0,0.0,7096.78,436.41,10000.0,101490.0
Centrality,Jaccard,2787.0,0.0,2622.0,0.0,165.0,0.0,8424.663,1486.469,10000.0,101490.0
Centrality,Degree,2857.0,0.0,2663.0,0.0,194.0,0.0,8822.979,950.619,10000.0,101490.0
Centrality,TopK,2936.0,0.0,2699.0,0.0,237.0,0.0,8015.812,627.225,10000.0,101490.0
Centrality,KKT,2859.0,0.0,2665.0,0.0,194.0,0.0,8251.621,499.784,10000.0,101490.0
Centrality,Random,1504.362,25.209,1287.712,24.894,216.65,1.238,1308.852,224.612,10000.0,101490.0
Centrality,Custom,1487.127,20.555,931.246,20.294,555.881,1.757,2390.817,213.234,10000.0,101490.0
Centrality,Custom V2,1403.116,19.568,1097.699,19.473,305.417,1.379,1612.506,52.571,10000.0,101490.0
Centrality Mixed,Original Graph,605.621,29.619,590.193,28.732,15.428,1.994,3.478,2.069,10000.0,99990.0
Centrality Mixed,PrefAtt,2908.0,0.0,2688.0,0.0,220.0,0.0,6880.852,591.124,10000.0,101490.0
Centrality Mixed,Jaccard,2789.0,0.0,2622.0,0.0,167.0,0.0,9793.354,1579.511,10000.0,101490.0
Centrality Mixed,Degree,2856.0,0.0,2663.0,0.0,193.0,0.0,7491.522,540.618,10000.0,101490.0
Centrality Mixed,TopK,2938.0,0.0,2698.0,0.0,240.0,0.0,10127.145,842.769,10000.0,101490.0
Centrality Mixed,KKT,2856.0,0.0,2664.0,0.0,192.0,0.0,8794.067,753.458,10000.0,101490.0
Centrality Mixed,Random,1667.12,16.74,1471.668,16.424,195.452,1.42,652.138,49.64,10000.0,101490.0
Centrality Mixed,Custom,1493.153,20.923,935.473,20.763,557.68,1.398,2229.729,158.137,10000.0,101490.0
Centrality Mixed,Custom V2,1414.264,19.799,1106.871,19.719,307.393,1.106,1568.208,48.98,10000.0,101490.0
Degree,Original Graph,2861.0,0.0,2666.0,0.0,195.0,0.0,4443.264,2.224,10000.0,99990.0
Degree,PrefAtt,2974.0,0.0,2738.0,0.0,236.0,0.0,4573.562,7.627,10000.0,101490.0
Degree,Jaccard,2861.0,0.0,2666.0,0.0,195.0,0.0,4443.286,2.357,10000.0,101490.0
Degree,Degree,2861.0,0.0,2666.0,0.0,195.0,0.0,4443.199,2.187,10000.0,101490.0
