Seed Function,Graph Modification,Avg Activated Nodes,Activated Nodes Std Dev,"Avg Activated Nodes, Color (0)","Activated Nodes Std Dev, Color (0)","Avg Activated Nodes, Color (1)","Activated Nodes Std Dev, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Nodes,Number of Edges
Centrality,Original Graph,711.974,637.25,599.829,438.769,112.145,205.266,71.84,198.63,10000.0,99990.0
Centrality,PrefAtt,9117.0,0.0,6329.0,0.0,2788.0,0.0,4240.622,1391.182,10000.0,100490.0
Centrality,Jaccard,9117.0,0.0,6329.0,0.0,2788.0,0.0,4159.796,1395.389,10000.0,100490.0
Centrality,Degree,9117.0,0.0,6329.0,0.0,2788.0,0.0,5936.941,2209.523,10000.0,100490.0
Centrality,TopK,9117.0,0.0,6329.0,0.0,2788.0,0.0,5200.107,1960.72,10000.0,100490.0
Centrality,KKT,9117.0,0.0,6329.0,0.0,2788.0,0.0,4353.811,1399.097,10000.0,100490.0
Centrality,Random,986.65,931.339,800.773,641.395,185.877,296.634,132.757,298.356,10000.0,100490.0
Centrality,Custom,938.926,690.149,604.539,474.688,334.387,221.931,491.814,216.103,10000.0,100490.0
Centrality,Custom V2,957.773,822.871,717.516,562.864,240.257,266.457,359.337,262.676,10000.0,100490.0
Centrality Mixed,Original Graph,762.342,685.647,637.701,471.869,124.641,220.663,77.603,214.897,10000.0,99990.0
Centrality Mixed,PrefAtt,9117.0,0.0,6329.0,0.0,2788.0,0.0,2829.04,272.794,10000.0,100490.0
Centrality Mixed,Jaccard,9117.0,0.0,6329.0,0.0,2788.0,0.0,5078.919,1867.406,10000.0,100490.0
Centrality Mixed,Degree,9117.0,0.0,6329.0,0.0,2788.0,0.0,4236.214,1386.257,10000.0,100490.0
Centrality Mixed,TopK,9117.0,0.0,6329.0,0.0,2788.0,0.0,4336.529,1376.429,10000.0,100490.0
Centrality Mixed,KKT,1205.024,655.181,977.372,466.313,227.652,208.123,134.18,199.071,10000.0,100490.0
Centrality Mixed,Random,897.449,619.894,729.121,428.935,168.328,197.527,123.488,194.34,10000.0,100490.0
Centrality Mixed,Custom,981.835,685.016,637.772,471.99,344.063,220.412,478.234,214.436,10000.0,100490.0
Centrality Mixed,Custom V2,1009.333,968.038,756.91,659.853,252.423,313.022,372.746,311.585,10000.0,100490.0
Degree,Original Graph,9117.0,0.0,6329.0,0.0,2788.0,0.0,3135.932,18.541,10000.0,99990.0
Degree,PrefAtt,9117.0,0.0,6329.0,0.0,2788.0,0.0,3154.224,18.774,10000.0,100490.0
Degree,Jaccard,9117.0,0.0,6329.0,0.0,2788.0,0.0,3137.521,18.395,10000.0,100490.0
Degree,Degree,9117.0,0.0,6329.0,0.0,2788.0,0.0,3136.659,18.701,10000.0,100490.0
Degree,TopK,9117.0,0.0,6329.0,0.0,2788.0,0.0,3152.705,18.983,10000.0,100490.0
Degree,KKT,9117.0,0.0,6329.0,0.0,2788.0,0.0,3136.247,18.646,10000.0,100490.0
Degree,Random,9139.0,0.0,6343.0,0.0,2796.0,0.0,3191.01,19.516,10000.0,100490.0
Degree,Custom,9326.0,0.0,6329.0,0.0,2997.0,0.0,3466.197,19.489,10000.0,100490.0
Degree,Custom V2,9233.0,0.0,6343.0,0.0,2890.0,0.0,3417.963,19.532,10000.0,100490.0
MIA,Original Graph,885.531,632.896,645.842,442.496,239.689,195.281,94.29,190.028,10000.0,99990.0
