Seed Function,Graph Modification,Avg Activated Nodes,Activated Nodes Std Dev,"Avg Activated Nodes, Color (0)","Activated Nodes Std Dev, Color (0)","Avg Activated Nodes, Color (1)","Activated Nodes Std Dev, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Nodes,Number of Edges
Centrality,Original Graph,93.46,45.279,43.514,22.394,49.946,23.633,12.864,15.889,475.0,13289.0
Centrality,PrefAtt,109.504,47.959,50.036,23.592,59.468,25.325,20.4,18.38,475.0,13430.0
Centrality,Jaccard,118.518,47.87,55.55,24.199,62.968,24.779,21.58,18.755,475.0,13430.0
Centrality,Degree,114.732,49.228,55.314,24.958,59.418,25.382,22.581,19.519,475.0,13430.0
Centrality,TopK,97.299,46.511,45.235,23.078,52.064,24.218,14.188,17.402,475.0,13430.0
Centrality,KKT,100.822,49.29,47.513,24.581,53.309,25.526,16.207,19.178,475.0,13430.0
Centrality,Random,124.431,51.338,58.57,25.434,65.861,26.934,26.302,20.832,475.0,13430.0
Centrality,Custom,142.892,50.743,74.539,25.879,68.353,26.157,47.267,28.53,475.0,13430.0
Centrality Mixed,Original Graph,113.019,52.407,52.019,26.467,61.0,26.761,20.845,20.228,475.0,13289.0
Centrality Mixed,PrefAtt,123.048,51.084,56.099,25.686,66.949,26.375,26.239,20.724,475.0,13430.0
Centrality Mixed,Jaccard,196.637,46.831,95.115,24.679,101.522,23.734,59.308,20.867,475.0,13430.0
Centrality Mixed,Degree,129.202,51.438,61.924,26.081,67.278,26.486,27.955,20.939,475.0,13430.0
Centrality Mixed,TopK,113.479,52.479,52.534,26.315,60.945,27.053,20.714,19.81,475.0,13430.0
Centrality Mixed,KKT,117.627,54.071,54.55,27.587,63.077,27.385,22.054,20.06,475.0,13430.0
Centrality Mixed,Random,161.487,49.953,73.014,25.579,88.473,25.403,75.767,30.237,475.0,13430.0
Centrality Mixed,Custom,137.727,49.965,70.101,25.88,67.626,25.294,41.349,22.67,475.0,13430.0
Degree,Original Graph,119.157,49.588,56.374,24.922,62.783,25.607,23.113,19.369,475.0,13289.0
Degree,PrefAtt,125.727,51.411,58.95,25.825,66.777,26.45,27.113,20.395,475.0,13430.0
Degree,Jaccard,144.383,50.625,66.73,26.18,77.653,25.712,31.487,21.638,475.0,13430.0
Degree,Degree,135.391,51.935,66.13,26.619,69.261,26.502,29.733,21.561,475.0,13430.0
Degree,TopK,119.302,49.691,56.222,25.136,63.08,25.53,23.436,19.076,475.0,13430.0
Degree,KKT,117.593,49.61,55.433,24.937,62.16,25.651,22.575,18.869,475.0,13430.0
Degree,Random,204.931,44.777,99.155,23.186,105.776,22.882,113.579,39.006,475.0,13430.0
Degree,Custom,156.611,51.6,80.714,26.369,75.897,26.536,49.587,25.013,475.0,13430.0
MIA,Original Graph,242.083,46.7,113.831,25.712,128.252,22.138,82.282,26.97,475.0,13289.0
MIA,PrefAtt,252.969,45.195,120.771,25.11,132.198,21.326,88.01,26.828,475.0,13430.0
MIA,Jaccard,258.409,44.081,120.48,24.621,137.929,20.741,89.733,26.926,475.0,13430.0
MIA,Degree,249.141,45.572,118.513,25.149,130.628,21.531,86.065,27.197,475.0,13430.0
MIA,TopK,243.4,45.635,114.536,25.184,128.864,21.596,83.766,27.728,475.0,13430.0
MIA,KKT,244.51,45.655,115.512,25.418,128.998,21.38,84.284,27.198,475.0,13430.0
MIA,Random,255.12,46.623,120.025,25.65,135.095,22.019,90.587,28.94,475.0,13430.0
MIA,Custom,266.421,41.149,120.514,23.817,145.907,18.538,98.12,27.74,475.0,13430.0
Polarized,Original Graph,217.594,50.006,130.419,22.185,87.175,29.738,76.886,27.111,475.0,13289.0
Polarized,PrefAtt,226.585,48.45,132.134,22.0,94.451,28.63,81.281,27.257,475.0,13430.0
Polarized,Jaccard,243.015,43.486,138.837,20.254,104.178,25.215,87.575,26.19,475.0,13430.0
Polarized,Degree,218.22,48.326,129.776,21.972,88.444,28.338,77.971,26.719,475.0,13430.0
Polarized,TopK,215.976,48.849,128.835,22.021,87.141,28.77,76.475,26.702,475.0,13430.0
Polarized,KKT,214.347,51.013,128.261,22.203,86.086,30.528,76.016,27.799,475.0,13430.0
Polarized,Random,238.372,46.189,138.966,20.454,99.406,27.88,87.09,28.061,475.0,13430.0
Polarized,Custom,244.368,44.551,135.411,20.454,108.957,25.839,106.352,28.309,475.0,13430.0
