Seed Function,Graph Modification,Avg Activated Nodes,Activated Nodes Std Dev,"Avg Activated Nodes, Color (0)","Activated Nodes Std Dev, Color (0)","Avg Activated Nodes, Color (1)","Activated Nodes Std Dev, Color (1)","Avg Activated Nodes, Color (2)","Activated Nodes Std Dev, Color (2)","Avg Activated Nodes, Color (3)","Activated Nodes Std Dev, Color (3)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Nodes,Number of Edges
Centrality,Original Graph,94.271,45.778,41.711,20.359,18.127,12.273,29.334,14.74,5.099,2.308,19.699,22.004,475.0,13289.0
Centrality,PrefAtt,126.372,49.507,58.56,21.967,27.157,14.469,33.786,15.171,6.869,2.771,37.716,26.967,475.0,13430.0
Centrality,Jaccard,113.902,48.666,50.879,22.522,21.786,13.546,35.237,15.126,6.0,2.616,28.908,24.089,475.0,13430.0
Centrality,Degree,117.984,50.325,53.689,22.684,23.889,14.247,34.276,15.625,6.13,2.711,31.013,25.929,475.0,13430.0
Centrality,TopK,96.584,46.826,42.687,20.644,18.669,12.285,29.929,15.012,5.299,2.474,21.084,23.469,475.0,13430.0
Centrality,KKT,100.48,50.472,44.181,22.059,20.161,14.046,30.797,15.71,5.341,2.577,23.145,24.78,475.0,13430.0
Centrality,Random,134.432,50.162,62.836,22.458,26.577,14.606,38.048,15.533,6.971,2.657,40.219,26.821,475.0,13430.0
Centrality,Custom,138.009,50.779,52.824,22.02,29.865,16.201,35.557,15.661,19.763,1.677,54.644,31.516,475.0,13430.0
Centrality,Custom V2,163.619,44.009,60.936,20.325,34.682,13.883,49.851,13.655,18.15,1.351,85.249,37.5,475.0,13430.0
Centrality Mixed,Original Graph,111.433,52.656,47.719,23.175,25.558,14.263,32.361,16.379,5.795,2.66,26.449,25.82,475.0,13289.0
Centrality Mixed,PrefAtt,124.414,53.415,52.89,23.294,29.176,14.807,36.005,16.538,6.343,2.723,34.927,27.088,475.0,13430.0
Centrality Mixed,Jaccard,141.541,52.495,60.272,22.872,33.684,15.374,40.654,16.34,6.931,2.789,39.624,26.733,475.0,13430.0
Centrality Mixed,Degree,126.326,51.394,56.594,22.988,28.182,14.201,35.07,15.973,6.48,2.781,34.829,26.875,475.0,13430.0
Centrality Mixed,TopK,111.263,51.921,47.81,22.917,25.105,13.374,32.485,16.538,5.863,2.644,26.078,24.35,475.0,13430.0
Centrality Mixed,KKT,112.677,50.886,48.431,22.578,25.799,13.834,32.58,15.667,5.867,2.597,27.268,24.883,475.0,13430.0
Centrality Mixed,Random,168.986,49.746,64.455,22.096,41.337,15.452,49.067,15.281,14.127,1.585,68.728,30.605,475.0,13430.0
Centrality Mixed,Custom,139.071,51.664,54.574,22.843,31.675,15.223,36.288,16.1,16.534,2.023,50.933,29.308,475.0,13430.0
Centrality Mixed,Custom V2,131.841,48.771,54.493,21.421,29.074,14.094,36.593,15.197,11.681,2.25,45.168,26.244,475.0,13430.0
