Seed Function,Graph Modification,Avg Activated Nodes,Activated Nodes Std Dev,"Avg Activated Nodes, Color (0)","Activated Nodes Std Dev, Color (0)","Avg Activated Nodes, Color (1)","Activated Nodes Std Dev, Color (1)","Avg Activated Nodes, Color (2)","Activated Nodes Std Dev, Color (2)","Avg Activated Nodes, Color (3)","Activated Nodes Std Dev, Color (3)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Nodes,Number of Edges
Centrality,Original Graph,46.063,26.795,5.938,7.311,16.362,9.21,7.213,5.499,16.55,7.049,12.39,13.226,200.0,788.0
Centrality,PrefAtt,118.98,23.895,26.204,7.544,38.843,8.387,27.387,4.296,26.546,6.793,90.296,29.629,200.0,848.0
Centrality,Jaccard,122.594,22.977,25.525,7.163,41.595,7.783,23.362,4.062,32.112,6.632,55.176,18.623,200.0,848.0
Centrality,Degree,104.807,26.297,20.886,8.119,39.703,8.393,20.137,5.73,24.081,7.383,74.413,29.741,200.0,848.0
Centrality,TopK,46.497,27.63,6.118,7.533,16.509,9.443,7.269,5.529,16.601,7.256,13.231,14.356,200.0,848.0
Centrality,KKT,52.01,28.437,8.942,7.972,17.897,10.127,7.395,5.307,17.776,7.357,18.61,17.313,200.0,848.0
Centrality,Random,82.021,28.615,19.523,8.709,28.925,9.817,13.097,6.03,20.476,7.367,40.45,21.406,200.0,848.0
Centrality,Custom,74.652,27.731,22.732,6.619,22.142,10.489,9.333,6.275,20.445,7.068,43.848,23.638,200.0,848.0
Centrality Mixed,Original Graph,61.047,32.952,15.693,8.163,17.76,12.227,10.842,6.802,16.752,8.192,18.35,15.881,200.0,788.0
Centrality Mixed,PrefAtt,74.667,30.462,20.965,7.315,23.374,11.026,11.534,6.857,18.794,7.983,33.408,19.002,200.0,848.0
Centrality Mixed,Jaccard,118.031,24.274,31.956,5.934,35.324,10.033,20.966,4.841,29.785,6.485,55.252,17.333,200.0,848.0
Centrality Mixed,Degree,104.545,27.305,23.733,7.53,36.834,9.551,20.768,5.568,23.21,7.643,62.352,25.888,200.0,848.0
Centrality Mixed,TopK,61.841,33.596,15.574,8.295,18.549,12.143,10.621,6.844,17.097,8.591,20.482,17.69,200.0,848.0
Centrality Mixed,KKT,65.334,32.406,16.652,7.839,20.117,12.334,10.899,6.737,17.666,8.251,23.162,18.051,200.0,848.0
Centrality Mixed,Random,94.465,28.155,23.452,7.377,28.823,11.177,15.515,6.189,26.675,6.645,56.901,25.031,200.0,848.0
Centrality Mixed,Custom,99.836,24.848,19.8,7.462,29.253,10.098,28.226,3.439,22.557,7.134,69.358,24.036,200.0,848.0
Degree,Original Graph,58.562,31.272,13.355,7.561,19.944,12.76,7.936,5.797,17.327,8.09,18.391,15.877,200.0,788.0
Degree,PrefAtt,96.805,26.116,26.09,5.875,30.038,10.977,17.342,5.489,23.335,7.366,53.935,22.932,200.0,848.0
Degree,Jaccard,108.757,24.291,26.242,6.224,38.196,8.75,18.746,5.466,25.573,6.966,47.23,16.6,200.0,848.0
Degree,Degree,102.884,26.215,21.96,7.429,38.501,8.799,19.174,5.622,23.249,7.512,57.694,26.089,200.0,848.0
Degree,TopK,62.613,31.072,13.929,7.517,21.668,12.576,8.216,5.854,18.8,8.112,22.664,17.522,200.0,848.0
Degree,KKT,58.739,31.597,13.426,7.704,19.799,12.666,7.995,5.773,17.519,8.323,18.323,16.083,200.0,848.0
Degree,Random,83.653,28.153,17.061,7.589,30.409,10.475,10.953,6.017,25.23,6.967,41.661,22.48,200.0,848.0
Degree,Custom,99.932,24.896,18.638,7.301,31.437,10.188,26.706,3.858,23.151,6.973,75.924,27.933,200.0,848.0
MIA,Original Graph,102.811,29.787,20.02,8.121,33.312,10.011,22.977,6.33,26.502,8.1,41.53,20.057,200.0,788.0
MIA,PrefAtt,123.402,25.707,29.15,6.391,40.272,9.078,23.737,5.998,30.243,7.17,61.777,22.187,200.0,848.0
MIA,Jaccard,123.136,27.957,25.477,8.053,39.66,9.389,26.271,5.272,31.728,7.894,59.681,21.248,200.0,848.0
MIA,Degree,125.313,25.2,27.022,6.973,44.119,7.721,24.873,5.791,29.299,7.68,68.298,24.196,200.0,848.0
MIA,TopK,103.943,29.142,19.944,8.273,33.793,9.692,22.788,6.149,27.418,7.787,43.853,20.73,200.0,848.0
MIA,KKT,107.012,29.247,21.256,7.935,34.312,10.278,23.161,6.121,28.283,7.61,48.092,21.858,200.0,848.0
MIA,Random,128.69,22.612,31.278,5.371,40.901,8.414,26.915,4.642,29.596,7.25,71.386,21.886,200.0,848.0
MIA,Custom,115.263,25.828,22.046,7.65,37.101,9.095,28.819,4.044,27.297,7.804,62.377,21.66,200.0,848.0
Polarized,Original Graph,69.631,29.603,31.706,4.043,18.163,12.705,7.85,6.178,11.912,9.278,25.579,16.143,200.0,788.0
Polarized,PrefAtt,104.448,25.963,33.521,4.172,31.138,10.549,16.859,6.367,22.93,8.165,61.666,24.259,200.0,848.0
Polarized,Jaccard,127.046,21.449,40.092,2.326,38.331,8.727,14.876,6.775,33.747,6.663,53.721,16.481,200.0,848.0
Polarized,Degree,114.371,25.777,35.635,3.984,38.525,9.316,19.443,6.004,20.768,9.116,60.979,24.121,200.0,848.0
Polarized,TopK,75.088,30.223,31.801,4.19,19.793,12.653,8.428,6.2,15.066,9.787,34.172,19.707,200.0,848.0
Polarized,KKT,74.08,29.146,31.525,4.067,20.08,12.803,8.104,5.87,14.371,9.382,35.701,22.153,200.0,848.0
Polarized,Random,91.36,29.299,35.918,4.878,26.374,12.338,12.299,6.248,16.769,9.225,46.976,22.525,200.0,848.0
Polarized,Custom,106.573,25.101,34.314,3.998,41.418,8.399,11.074,6.187,19.767,9.119,58.766,22.732,200.0,848.0
Polarized Centrality,Original Graph,55.02,31.053,25.33,4.865,13.556,12.34,6.009,6.497,10.125,10.039,19.785,17.225,200.0,788.0
Polarized Centrality,PrefAtt,80.878,31.701,27.587,5.15,24.495,12.774,12.274,7.305,16.522,9.593,45.618,24.762,200.0,848.0
Polarized Centrality,Jaccard,110.773,24.969,32.642,3.854,38.399,9.302,17.611,5.854,22.121,8.942,55.35,19.721,200.0,848.0
Polarized Centrality,Degree,109.255,27.167,31.251,4.636,38.443,9.589,19.275,6.476,20.286,9.475,85.05,34.035,200.0,848.0
Polarized Centrality,TopK,62.791,31.422,25.941,4.984,16.089,12.329,7.136,6.807,13.625,10.056,30.493,22.261,200.0,848.0
Polarized Centrality,KKT,64.514,31.737,26.277,5.046,17.327,12.831,7.198,6.614,13.712,9.988,29.581,20.851,200.0,848.0
Polarized Centrality,Random,110.484,23.954,37.061,2.423,29.38,10.629,19.025,6.244,25.018,8.075,71.096,25.41,200.0,848.0
Polarized Centrality,Custom,97.394,25.022,28.819,4.331,40.76,8.49,9.41,6.344,18.405,9.1,52.675,22.868,200.0,848.0
Polarized Centrality Mixed,Original Graph,69.738,29.772,29.27,3.92,18.145,12.603,7.422,6.404,14.901,9.457,25.926,16.958,200.0,788.0
Polarized Centrality Mixed,PrefAtt,80.347,30.222,30.66,4.008,22.555,12.804,9.689,6.795,17.443,9.147,38.022,22.044,200.0,848.0
Polarized Centrality Mixed,Jaccard,130.782,21.39,38.168,2.892,38.396,9.474,26.406,4.056,27.812,7.262,59.761,20.367,200.0,848.0
Polarized Centrality Mixed,Degree,112.647,25.638,33.305,4.375,38.107,9.323,19.102,6.132,22.133,8.985,70.148,24.871,200.0,848.0
Polarized Centrality Mixed,TopK,74.515,30.131,29.569,4.038,19.589,12.437,8.124,6.506,17.233,9.701,34.863,21.641,200.0,848.0
Polarized Centrality Mixed,KKT,74.981,30.011,29.577,4.04,20.165,12.717,7.97,6.639,17.269,9.112,33.441,19.994,200.0,848.0
Polarized Centrality Mixed,Random,106.028,24.892,32.444,3.492,31.55,10.429,21.316,5.298,20.718,8.814,64.723,26.26,200.0,848.0
Polarized Centrality Mixed,Custom,96.26,27.577,30.995,4.071,35.62,10.757,9.658,6.444,19.987,9.232,53.514,22.986,200.0,848.0
Polarized Degree,Original Graph,66.174,32.72,27.59,5.145,17.904,13.355,7.037,6.584,13.643,10.386,25.058,18.138,200.0,788.0
Polarized Degree,PrefAtt,84.311,31.147,29.691,4.782,23.541,12.839,12.494,6.877,18.585,9.664,42.989,23.122,200.0,848.0
Polarized Degree,Jaccard,127.0,23.698,36.002,4.029,39.612,10.012,26.093,3.927,25.293,8.813,64.336,19.469,200.0,848.0
Polarized Degree,Degree,110.81,24.788,31.066,4.411,38.38,8.877,19.497,5.935,21.867,9.176,83.242,30.258,200.0,848.0
Polarized Degree,TopK,70.479,30.209,27.675,5.122,19.691,12.374,7.627,6.152,15.486,9.701,32.978,20.43,200.0,848.0
Polarized Degree,KKT,73.232,32.369,27.984,5.16,21.061,13.685,7.842,6.509,16.345,10.182,33.926,21.488,200.0,848.0
Polarized Degree,Random,106.247,25.488,32.147,4.269,28.1,11.781,20.587,4.849,25.413,7.611,67.885,25.824,200.0,848.0
Polarized Degree,Custom,94.355,28.684,29.058,4.962,36.37,10.929,9.703,6.334,19.224,10.017,49.928,22.87,200.0,848.0
Random,Original Graph,77.805,30.351,18.375,7.724,22.145,12.022,17.513,5.266,19.772,7.733,30.469,17.076,200.0,788.0
Random,PrefAtt,88.022,29.377,20.267,7.571,26.311,11.689,19.308,5.079,22.136,7.777,42.836,19.969,200.0,848.0
Random,Jaccard,115.45,25.022,29.438,6.619,34.997,9.954,23.612,4.051,27.403,7.317,60.3,18.39,200.0,848.0
Random,Degree,115.853,24.913,26.125,6.613,39.275,8.827,23.946,4.538,26.507,7.459,71.578,23.22,200.0,848.0
Random,TopK,79.572,29.272,18.071,7.272,23.044,11.645,17.603,5.275,20.854,7.597,34.462,17.539,200.0,848.0
Random,KKT,85.961,30.456,20.463,7.63,24.895,12.177,18.242,5.282,22.361,8.164,41.018,21.837,200.0,848.0
Random,Random,100.899,27.378,26.988,6.643,30.571,11.489,20.078,4.7,23.262,7.503,65.031,24.51,200.0,848.0
Random,Custom,111.993,23.968,23.781,6.718,44.849,7.622,19.187,4.972,24.176,7.624,65.324,24.173,200.0,848.0
