Seed Function,Graph Modification,Avg Activated Nodes,Activated Nodes Std Dev,"Avg Activated Nodes, Color (0)","Activated Nodes Std Dev, Color (0)","Avg Activated Nodes, Color (1)","Activated Nodes Std Dev, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Nodes,Number of Edges
Centrality,Original Graph,407.126,6.559,284.996,4.464,122.13,2.535,1.182,2.185,4039.0,88234.0
Centrality,PrefAtt,2012.772,439.939,1013.91,196.373,998.862,317.865,319.683,149.121,4039.0,89443.0
Centrality,Jaccard,2363.395,170.729,1154.404,143.994,1208.991,60.0,294.806,67.245,4039.0,89443.0
Centrality,Degree,2999.247,147.172,1310.468,114.742,1688.779,46.953,709.61,183.589,4039.0,89443.0
Centrality,TopK,409.024,8.024,286.573,5.59,122.451,2.942,1.702,2.697,4039.0,89443.0
Centrality,KKT,2831.636,166.13,1157.693,133.269,1673.943,49.174,678.199,186.0,4039.0,89443.0
Centrality,Random,1641.346,292.898,969.416,153.175,671.93,162.547,401.399,119.24,4039.0,89443.0
Centrality,Custom,2430.043,205.348,857.939,179.94,1572.104,45.256,732.063,290.534,4039.0,89443.0
Centrality Mixed,Original Graph,902.336,116.263,738.498,108.59,163.838,11.39,150.295,24.803,4039.0,88234.0
Centrality Mixed,PrefAtt,2568.456,184.95,1014.966,159.126,1553.49,51.33,302.636,134.525,4039.0,89443.0
Centrality Mixed,Jaccard,1990.203,154.271,1090.34,73.305,899.863,97.761,283.142,46.884,4039.0,89443.0
Centrality Mixed,Degree,2994.82,140.692,1303.691,114.159,1691.129,43.715,676.269,181.624,4039.0,89443.0
Centrality Mixed,TopK,908.994,113.802,744.83,106.326,164.164,11.133,151.283,23.0,4039.0,89443.0
Centrality Mixed,KKT,2839.322,159.614,1163.678,131.409,1675.644,48.193,441.515,103.228,4039.0,89443.0
Centrality Mixed,Random,1875.348,262.273,1161.76,150.783,713.588,151.298,355.865,88.306,4039.0,89443.0
Centrality Mixed,Custom,2438.207,188.316,863.469,165.88,1574.738,45.183,475.327,161.017,4039.0,89443.0
Degree,Original Graph,2831.399,178.411,1154.439,134.817,1676.96,53.355,427.669,40.685,4039.0,88234.0
Degree,PrefAtt,3037.634,148.263,1318.986,105.283,1718.648,49.931,478.764,47.685,4039.0,89443.0
Degree,Jaccard,3178.627,130.745,1441.72,92.779,1736.907,44.692,550.932,45.459,4039.0,89443.0
Degree,Degree,2974.869,140.116,1288.808,99.293,1686.061,48.236,495.451,49.009,4039.0,89443.0
Degree,TopK,2844.295,173.596,1165.287,131.064,1679.008,52.197,438.418,42.64,4039.0,89443.0
Degree,KKT,2823.255,172.975,1148.535,131.548,1674.72,51.03,426.333,40.25,4039.0,89443.0
Degree,Random,3054.728,159.857,1331.486,110.815,1723.242,58.633,544.273,51.83,4039.0,89443.0
Degree,Custom,2876.468,172.497,1153.666,136.751,1722.802,45.136,570.601,48.793,4039.0,89443.0
MIA,Original Graph,2854.369,179.675,1061.318,160.104,1793.051,32.175,737.297,129.259,4039.0,88234.0
MIA,PrefAtt,3005.725,157.963,1201.186,138.868,1804.539,30.96,879.94,153.62,4039.0,89443.0
MIA,Jaccard,3008.109,176.119,1181.039,157.393,1827.07,30.673,870.434,169.377,4039.0,89443.0
MIA,Degree,3094.955,121.278,1292.536,104.055,1802.419,30.447,926.143,180.956,4039.0,89443.0
MIA,TopK,2875.702,174.663,1082.926,156.035,1792.776,31.612,749.375,132.145,4039.0,89443.0
MIA,KKT,2937.409,155.368,1138.29,138.262,1799.119,30.296,902.764,170.455,4039.0,89443.0
MIA,Random,3169.711,145.822,1310.978,126.703,1858.733,28.757,805.771,129.459,4039.0,89443.0
MIA,Custom,3084.057,137.042,1274.418,124.045,1809.639,26.825,1016.513,137.731,4039.0,89443.0
Polarized,Original Graph,1216.086,125.953,1143.134,113.376,72.952,13.9,108.69,31.788,4039.0,88234.0
Polarized,PrefAtt,3186.191,105.853,1513.604,72.513,1672.587,48.769,655.165,137.305,4039.0,89443.0
Polarized,Jaccard,3037.388,128.645,1619.291,67.126,1418.097,79.985,385.233,48.167,4039.0,89443.0
Polarized,Degree,3216.103,99.066,1529.122,67.172,1686.981,45.728,511.311,95.817,4039.0,89443.0
Polarized,TopK,1221.375,129.839,1145.043,115.834,76.332,15.762,112.288,33.293,4039.0,89443.0
Polarized,KKT,3130.051,120.574,1455.909,84.18,1674.142,52.419,574.968,121.996,4039.0,89443.0
Polarized,Random,2082.111,244.405,1381.021,116.574,701.09,151.213,336.101,94.254,4039.0,89443.0
Polarized,Custom,2902.664,129.785,1329.186,101.047,1573.478,46.999,626.944,125.994,4039.0,89443.0
Polarized Centrality,Original Graph,409.897,9.526,405.852,5.328,,,5.34,7.326,4039.0,88234.0
Polarized Centrality,PrefAtt,2669.671,178.094,1127.469,139.747,1542.202,55.632,522.16,170.557,4039.0,89443.0
Polarized Centrality,Jaccard,2721.733,122.819,1571.366,70.461,1150.367,73.935,349.054,59.667,4039.0,89443.0
Polarized Centrality,Degree,3027.494,135.004,1345.491,100.886,1682.003,48.189,850.674,208.193,4039.0,89443.0
Polarized Centrality,TopK,417.821,18.148,408.054,6.96,,,11.177,14.873,4039.0,89443.0
Polarized Centrality,KKT,2893.289,157.526,1225.298,125.144,1667.991,50.593,932.168,287.422,4039.0,89443.0
Polarized Centrality,Random,2222.745,245.862,1158.505,149.172,1064.24,117.411,712.359,195.329,4039.0,89443.0
Polarized Centrality,Custom,2481.233,186.04,916.441,159.233,1564.792,48.781,886.495,285.588,4039.0,89443.0
Polarized Centrality Mixed,Original Graph,431.959,24.775,422.944,18.534,9.015,7.211,9.719,8.998,4039.0,88234.0
Polarized Centrality Mixed,PrefAtt,1890.865,199.266,1224.116,129.42,666.749,95.974,706.955,210.058,4039.0,89443.0
Polarized Centrality Mixed,Jaccard,1622.583,135.024,1494.412,100.639,128.171,40.987,216.843,82.01,4039.0,89443.0
Polarized Centrality Mixed,Degree,3028.143,132.869,1344.352,99.89,1683.791,48.052,585.028,116.536,4039.0,89443.0
Polarized Centrality Mixed,TopK,437.031,29.442,423.919,19.02,13.112,11.617,14.029,14.256,4039.0,89443.0
Polarized Centrality Mixed,KKT,2879.64,165.326,1214.548,132.949,1665.092,52.834,861.035,283.255,4039.0,89443.0
Polarized Centrality Mixed,Random,1667.346,280.064,1050.748,158.978,616.598,150.068,287.015,125.274,4039.0,89443.0
Polarized Centrality Mixed,Custom,2494.832,184.648,925.125,159.311,1569.707,47.035,639.593,157.038,4039.0,89443.0
Polarized Degree,Original Graph,830.285,67.519,763.502,61.019,66.783,8.124,134.237,35.931,4039.0,88234.0
Polarized Degree,PrefAtt,2814.007,155.879,1214.997,126.472,1599.01,52.003,550.381,152.741,4039.0,89443.0
Polarized Degree,Jaccard,2171.498,210.586,1558.095,70.911,613.403,167.435,494.995,86.174,4039.0,89443.0
Polarized Degree,Degree,2992.177,131.138,1304.456,101.723,1687.721,46.574,830.892,186.394,4039.0,89443.0
Polarized Degree,TopK,840.849,66.17,770.471,58.853,70.378,9.19,137.736,34.933,4039.0,89443.0
Polarized Degree,KKT,2965.016,138.478,1294.06,106.694,1670.956,50.14,780.289,186.31,4039.0,89443.0
Polarized Degree,Random,1687.166,216.742,1110.545,111.518,576.621,119.419,331.758,69.579,4039.0,89443.0
Polarized Degree,Custom,2612.323,161.238,1043.91,140.984,1568.413,45.304,782.102,208.079,4039.0,89443.0
Random,Original Graph,1866.908,334.078,1000.691,173.287,866.217,178.797,137.423,63.718,4039.0,88234.0
Random,PrefAtt,3167.77,124.581,1419.837,90.367,1747.933,42.019,603.353,111.175,4039.0,89443.0
Random,Jaccard,2951.802,155.098,1577.768,75.868,1374.034,89.883,413.803,53.485,4039.0,89443.0
Random,Degree,3094.575,127.0,1425.799,89.423,1668.776,46.257,506.233,115.597,4039.0,89443.0
Random,TopK,1866.66,333.836,1000.48,173.004,866.18,179.515,146.102,66.657,4039.0,89443.0
Random,KKT,3125.069,124.841,1386.685,89.052,1738.384,43.813,599.383,121.225,4039.0,89443.0
Random,Random,2288.497,262.755,1202.834,134.368,1085.663,137.298,285.125,69.53,4039.0,89443.0
Random,Custom,2130.464,275.728,1240.56,120.548,889.904,169.984,292.882,67.84,4039.0,89443.0
